sample_id,segment,cell_type,disease_status,patient_id,slide_name,pancreatic.A.cell,acinar.cell,pancreatic.D.cell,type.B.pancreatic.cell,pancreatic.ductal.cell,mesenchymal.cell
GSM7084877_DSP-1001660007414-H-E02.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,2.6427747637024317,1.4244143250932746,0.32418071429910467,2.2174604701777514,1.1681100574663905,0.5007221406193503
GSM7084878_DSP-1001660007414-H-E03.dcc,Panck,PanIN,healthy,Donor_8,4895-EC-S7,2.828225025687896,2.252617368914127,2.5448237701751713,0.974867512753579,1.4138080710407877,0.3442584428574561
GSM7084879_DSP-1001660007414-H-E04.dcc,Panck,Duct,healthy,Donor_8,4895-EC-S7,3.7096993069890036,0.5462399915683492,3.1396498727702444,0.7115498924845739,2.011826472911751,0.6862761340360528
GSM7084880_DSP-1001660007414-H-E05.dcc,Panck,Duct,healthy,Donor_8,4895-EC-S7,3.1886653418838837,0.5523236053559494,2.6393277627014498,0.318347871633355,1.7145962982529728,0.5213844799870327
GSM7084881_DSP-1001660007414-H-E06.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,2.876382080337433,0.9309702838469462,2.6814891258949762,1.5463751923932647,1.4438092499865107,0.6116066094389413
GSM7084882_DSP-1001660007414-H-E07.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,3.6659194001170485,1.2200306672024153,3.1793765280249837,1.0634008876875813,1.6824827832502576,0.8592149746282272
GSM7084883_DSP-1001660007414-H-E08.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,3.02242486457347,1.441690201844724,2.796125978449061,0.8954206792170883,1.4016007573665143,0.6317194426870497
GSM7084884_DSP-1001660007414-H-E09.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,1.7713636343119903,2.3132423392718673,2.253019701410302,0.47369543976396233,1.2861883673457195,0.43632329230551603
GSM7084885_DSP-1001660007414-H-E10.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,NA,2.232669182651619,1.6870432156948505,0.3072769027354105,1.26594976397138,0.4224879723829608
GSM7084886_DSP-1001660007414-H-E11.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,2.0554749376797927,0.19740006887216352,0.23287554205585542,1.0566888727335706,1.4429339715758105,0.4165691123181205
GSM7084887_DSP-1001660007414-H-E12.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,2.0763860668770753,0.0979391691908891,2.3733848376159417,1.2139550327229496,1.4582022719514032,0.6627779210093856
GSM7084888_DSP-1001660007414-H-F01.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,2.311904308240909,0.28389123487460927,1.3033513657655706,1.2537277095528248,1.3949588225443281,0.5940441911408957
GSM7084889_DSP-1001660007414-H-F02.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,2.301297289924604,1.280990601789788,2.7110652371675563,1.7603650477567359,1.3240611355774192,0.4530450634877616
GSM7084890_DSP-1001660007414-H-F03.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,1.504140997213634,3.527770948803332,0.2543164280209889,2.161491948646682,0.446086939771577,0.3825716563802586
GSM7084891_DSP-1001660007414-H-F04.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,0.9856431831492432,3.4839643676429626,0.18387857175822686,2.020547583808141,0.5302093278809706,0.34076809026876664
GSM7084892_DSP-1001660007414-H-F05.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,NA,3.3583178816744534,0.28229708466012227,1.495800226859757,0.47442808519558055,0.3449235516599
